sub,session_type,n_pictures,estimated_duration_s,gap_s,actual_duration_s,actual_minus_gap_s,estimate_plus_gap_s,raw_ratio_total_actual,gap_removed_ratio,estimate_plus_gap_ratio,n_fixations_modeled_or_observed,n_trials
001,active,9,16.5,7.637925,50.61326884999994,42.97534384999994,24.137925000000003,0.34148374307304075,0.4197216109474948,0.5179586467810781,9.0,4
001,active,12,23.125,10.2149,72.02423805000012,61.80933805000012,33.3399,0.3455731681362873,0.42063283163888127,0.5087838242092964,12.0,4
001,active,18,30.375,15.523675,101.14055307499984,85.61687807499985,45.898675000000004,0.29721816250610134,0.35571715992647324,0.4610030744791142,18.0,4
001,constant,9,22.25,0.85,50.736792700000024,49.88679270000002,23.1,0.4673627232615799,0.47721018171570795,0.4870243828929143,1.0,4
001,constant,12,27.75,0.85,72.13498034999998,71.28498034999998,28.6,0.3845470110606967,0.3899749433996626,0.39814473814923595,1.0,4
001,constant,18,27.875,0.85,101.25577859999999,100.40577859999999,28.725,0.27318277942491676,0.27562621132039644,0.28213157398121047,1.0,4
001,passive,9,20.0,7.637925,50.76177464999989,43.1238496499999,27.637925000000003,0.409975399187833,0.5027254146176523,0.5860330794256555,9.0,4
001,passive,12,23.0,10.2149,72.25979367499986,62.044893674999855,33.2149,0.3332692277280617,0.40407891502972454,0.49577063027593404,12.0,4
001,passive,18,24.375,15.523675,101.20915612500016,85.68548112500017,39.898675000000004,0.24692932011520827,0.29760177399934495,0.4107437175569659,18.0,4
002,active,9,16.625,7.864325,46.46449430000007,38.60016930000007,24.489325,0.3637178032495884,0.4395707662730388,0.5339577613722275,9.0,4
002,active,12,22.5,10.440675,74.00871517500013,63.56804017500013,32.940675,0.3272504767505986,0.3871392681546475,0.4722426901569593,12.0,4
002,active,18,24.0,15.39305,109.35853604999966,93.96548604999965,39.39305,0.2356441049356805,0.27972253407446573,0.3816845870202846,18.0,4
002,constant,9,42.125,0.85,46.57991804999983,45.72991804999983,42.975,0.9147230509531168,0.9320287926007886,0.9330716686857445,1.0,4
002,constant,12,105.0,0.85,74.13667697500023,73.28667697500023,105.85,1.463990787794025,1.4820774126093503,1.4758102384795104,1.0,4
002,constant,18,112.5,0.85,109.47838382499981,108.62838382499982,113.35,1.0490553694983902,1.0577221697469925,1.057087670293454,1.0,4
002,passive,9,20.625,7.864325,46.554411749999645,38.69008674999965,28.489325,0.45347383776093364,0.5485607870916064,0.6233526295755312,9.0,4
002,passive,12,27.5,10.440674999999999,74.18275527500032,63.74208027500032,37.940675,0.4049386662083206,0.47891625816401506,0.5496290307667295,12.0,4
002,passive,18,23.25,15.393049999999999,109.62351960000001,94.2304696,38.64305,0.23599026618817032,0.2816478674314039,0.3816743954642071,18.0,4
003,active,9,29.25,7.73595,36.56222542500018,28.82627542500018,36.98595,0.7805520794715456,0.994071606304133,0.9993126571786731,9.0,4
003,active,12,47.5,10.640925,58.89046015000076,48.24953515000077,58.140924999999996,0.808768482568716,0.9885058884394737,0.9899735989833197,12.0,4
003,active,18,77.5,15.697275,90.99564307500077,75.29836807500078,93.197275,0.860175437476439,1.0439804688089676,1.0345478783145663,18.0,4
003,constant,9,37.5,0.85,36.694100474999686,35.844100474999685,38.35,1.0088073127397594,1.0332003823735754,1.032765967561938,1.0,4
003,constant,12,57.5,0.85,58.9940363249998,58.144036324999796,58.35,0.9772827635353357,0.9916455011144647,0.9917261883321551,1.0,4
003,constant,18,85.0,0.85,91.119148400001,90.269148400001,85.85,0.9343256578897514,0.9432468569140504,0.9437531565785555,1.0,4
003,passive,9,32.5,7.73595,36.89383010000074,29.15788010000074,40.23595,0.8708208320354002,1.109485796383503,1.087410770220449,9.0,4
003,passive,12,55.0,10.640925,59.11725162499988,48.47632662499988,65.64092500000001,0.9298873943735128,1.1344851378087575,1.1103678478713896,12.0,4
003,passive,18,77.5,15.697275,91.23960829999942,75.54233329999943,93.19727499999999,0.842811029735924,1.0191738839369597,1.0167088241638467,18.0,4
004,active,9,40.75,7.77415,80.38042094999969,72.60627094999968,48.52415,0.507471507665213,0.5622570077478126,0.6046633089521551,9.0,4
004,active,12,69.5,10.5635,106.96533165000051,96.40183165000052,80.0635,0.647134628706947,0.7197050438753707,0.7479577936447704,12.0,4
004,active,18,106.25,15.633925,167.02317367499995,151.38924867499995,121.883925,0.6320397019010581,0.6990708869275394,0.7283456347105897,18.0,4
004,constant,9,86.25,0.85,80.50304062499981,79.65304062499982,87.1,1.0631858738545539,1.074480928559066,1.0737781055327584,1.0,4
004,constant,12,103.75,0.85,107.08021100000019,106.2302110000002,104.6,0.973844442520529,0.9818315185275047,0.9819350818785397,1.0,4
004,constant,18,118.0,0.85,167.1429721749996,166.29297217499962,118.85,0.72511165172462,0.7290609991326545,0.7303641437024825,1.0,4
004,passive,9,42.5,7.77415,80.4409910249999,72.6668410249999,50.27415,0.5312323502078502,0.5890328483924676,0.628360842384241,9.0,4
004,passive,12,72.5,10.5635,107.31801207499961,96.75451207499961,83.0635,0.6725320823164169,0.7476295675952662,0.7730123357892317,12.0,4
004,passive,18,117.5,15.633925,167.40084342499995,151.76691842499994,133.133925,0.7231556512094087,0.8029217877942777,0.8192199537410004,18.0,4
005,active,9,34.125,7.756275,41.5613886000001,33.8051136000001,41.881275,0.7461798567415596,0.9066654580791512,0.9518208551031887,9.0,4
005,active,12,40.125,10.119225,47.55318125000122,37.433956250001216,50.244225,0.7843484941722962,0.9813618069377525,1.0080494180283712,12.0,4
005,active,18,39.625,15.6928,91.02501159999974,75.33221159999975,55.3178,0.42306869693372867,0.5129895224444538,0.6120167158575374,18.0,4
005,constant,9,30.375,0.85,41.65996389999964,40.80996389999964,31.225,0.7082443370863706,0.7239709703446965,0.730758244947209,1.0,4
005,constant,12,34.375,0.85,47.65578057500079,46.80578057500079,35.225,0.6713675471414596,0.682901860161433,0.6900184391179645,1.0,4
005,constant,18,68.25,0.85,91.13174832499953,90.28174832499954,69.1,0.757754744387829,0.7656782650740775,0.7679966664720294,1.0,4
005,passive,9,36.25,7.7562750000000005,41.73013229999924,33.97385729999924,44.006275,0.7877652056270283,0.9574809273834257,0.9927290578291226,9.0,4
005,passive,12,39.625,10.119225,47.74740917500003,37.62818417500003,49.744225,0.7644153873664259,0.9537686069788438,0.9872395187886016,12.0,4
005,passive,18,55.0,15.6928,91.29789420000088,75.60509420000088,70.6928,0.5379560462445524,0.6412585142770999,0.7262236559077924,18.0,4
006,active,9,10.125,7.688175,24.727965175000463,17.039790175000462,17.813175,0.4190126109552299,0.6186725912987466,0.7336916543775535,9.0,4
006,active,12,11.875,10.408275,28.398606149999978,17.990331149999978,22.283275,0.41769604056704046,0.6654072701052454,0.7885686773507021,12.0,4
006,active,18,20.0,15.332175,49.01211235000028,33.67993735000029,35.33217499999999,0.3982205996509232,0.5796817144182167,0.7168856420571974,18.0,4
