metric,contrast,n,mean_a,mean_b,t,p_raw,p_holm,dz
estimated_duration_s,active_vs_passive,23,28.289855072463773,30.659420289855067,-3.690098566044815,0.001280374205321655,0.002800771457654252,-0.7694387403116862
estimated_duration_s,active_vs_constant,23,28.289855072463773,39.16123188405796,-3.820443448806699,0.0009335904858847506,0.002800771457654252,-0.7966175271661188
estimated_duration_s,passive_vs_constant,23,30.659420289855067,39.16123188405796,-3.091466197907139,0.005330364575877097,0.005330364575877097,-0.6446152628338598
estimation_ratio,active_vs_passive,23,0.48110564545262763,0.5150470501885109,-2.5310543990919863,0.019028721436047287,0.019028721436047287,-0.527761324973247
estimation_ratio,active_vs_constant,23,0.48110564545262763,0.6540899412190863,-4.666571379380377,0.00011846550985352085,0.00035539652956056257,-0.9730473968270145
estimation_ratio,passive_vs_constant,23,0.5150470501885109,0.6540899412190863,-4.139395446202025,0.00042925815541970365,0.0008585163108394073,-0.8631236160153386
accuracy,active_vs_passive,23,0.9130434782608697,0.8804347826086957,1.52127765851133,0.14243421909423884,0.14243421909423884,0.31720831958260864
accuracy,active_vs_constant,23,0.9130434782608697,0.996376811594203,-4.795831523312721,8.64754481209182e-05,0.00025942634436275456,-1.0000000000000002
accuracy,passive_vs_constant,23,0.8804347826086957,0.996376811594203,-4.746367031741224,9.753693344665559e-05,0.00025942634436275456,-0.9896859405233385
variability_sd_s,active_vs_passive,22,10.319571451976056,12.251847391399464,-1.9834459026397218,0.06054572825982153,0.12109145651964306,-0.422872087295389
variability_sd_s,active_vs_constant,22,10.319571451976056,13.368764375413445,-2.552434512201547,0.01854516697141906,0.05563550091425719,-0.5441808664521529
variability_sd_s,passive_vs_constant,22,12.251847391399464,13.368764375413445,-1.1915001586392981,0.2467498571821297,0.2467498571821297,-0.2540286873597219
