comparison,condition,window,r,p,n,p_fdr,sig_fdr
ERP_vs_EstRatio,active,P1,0.30630976823892186,0.18901624484988075,20,0.8092066039664809,False
ERP_vs_EstRatio,active,N1,0.367219493392589,0.11121822917489067,20,0.8092066039664809,False
ERP_vs_EstRatio,active,P2,0.23848538131485497,0.31126438299610626,20,0.8092066039664809,False
ERP_vs_EstRatio,active,P3,0.18999833146034853,0.42235898860800836,20,0.8092066039664809,False
ERP_vs_EstRatio,active,Late,0.15097917922321125,0.5251790521702234,20,0.8752984202837057,False
ERP_vs_EstRatio,passive,P1,-0.10131930721483069,0.6708113822024115,20,0.893175992801622,False
ERP_vs_EstRatio,passive,N1,0.11427600285482567,0.6314209152945378,20,0.893175992801622,False
ERP_vs_EstRatio,passive,P2,-0.03738942884852276,0.8756404647768409,20,0.9121254841425426,False
ERP_vs_EstRatio,passive,P3,-0.09616769447790968,0.6867130210596722,20,0.893175992801622,False
ERP_vs_EstRatio,passive,Late,-0.18659500053152359,0.430870911838468,20,0.8092066039664809,False
ERPdiff_vs_EstRatioDiff,A-P,P1,-0.2768873747828041,0.23727362581031763,20,0.8092066039664809,False
ERPdiff_vs_EstRatioDiff,A-P,N1,0.35213225060040587,0.12784933872437057,20,0.8092066039664809,False
ERPdiff_vs_EstRatioDiff,A-P,P2,0.24599920988798743,0.29580116098568987,20,0.8092066039664809,False
ERPdiff_vs_EstRatioDiff,A-P,P3,0.2080831882500365,0.37866961129987786,20,0.8092066039664809,False
ERPdiff_vs_EstRatioDiff,A-P,Late,0.38072071325714457,0.09771064470789888,20,0.8092066039664809,False
ERP_vs_RecogAcc,active,P1,0.2680893099824262,0.25311846446522884,20,0.8092066039664809,False
ERP_vs_RecogAcc,active,N1,0.2237715341525073,0.34292483664644285,20,0.8092066039664809,False
ERP_vs_RecogAcc,active,P2,0.05381419497016242,0.8217219133774922,20,0.893175992801622,False
ERP_vs_RecogAcc,active,P3,0.05508266046975081,0.8175865824733571,20,0.893175992801622,False
ERP_vs_RecogAcc,active,Late,0.0542346513315109,0.82035067423755,20,0.893175992801622,False
ERP_vs_RecogAcc,passive,P1,0.1778492454221234,0.45315569822122936,20,0.8092066039664809,False
ERP_vs_RecogAcc,passive,N1,0.24358235367708633,0.30072277243990475,20,0.8092066039664809,False
ERP_vs_RecogAcc,passive,P2,0.0745507494941706,0.7547605041770907,20,0.893175992801622,False
ERP_vs_RecogAcc,passive,P3,0.023813662195986993,0.9206188741935659,20,0.9206188741935659,False
ERP_vs_RecogAcc,passive,Late,-0.05867112984544114,0.805913232218969,20,0.893175992801622,False
