sub,condition,repetition,window,amplitude_uV,n_epochs
001,active,1,N1,10.5747606372391,31
001,active,1,P2,13.52111877454288,31
001,active,1,P3,9.231562228017035,31
001,active,2,N1,12.25380298212182,26
001,active,2,P2,14.911190223076014,26
001,active,2,P3,10.21957073365566,26
001,active,3,N1,12.077494029183264,30
001,active,3,P2,16.447511562467202,30
001,active,3,P3,12.79572186710809,30
001,active,4,N1,9.864546833093918,30
001,active,4,P2,14.090656024114178,30
001,active,4,P3,10.111306762756437,30
001,passive,1,N1,2.9951498033371187,14
001,passive,1,P2,8.793577045102099,14
001,passive,1,P3,8.077464821797891,14
001,passive,2,N1,12.106861156872819,25
001,passive,2,P2,18.266136250700594,25
001,passive,2,P3,14.420659322944985,25
001,passive,3,N1,8.486365151509144,10
001,passive,3,P2,13.625999604416899,10
001,passive,3,P3,8.425836954766094,10
001,passive,4,N1,10.52455635230394,22
001,passive,4,P2,14.718774295806845,22
001,passive,4,P3,12.186929579009302,22
002,active,1,N1,5.949970767740425,36
002,active,1,P2,6.420650323185351,36
002,active,1,P3,2.90443753082433,36
002,active,2,N1,6.352117394621424,39
002,active,2,P2,6.896633861564771,39
002,active,2,P3,2.832085958701299,39
002,active,3,N1,4.360196014029081,39
002,active,3,P2,5.561345788515249,39
002,active,3,P3,2.8680608984099956,39
002,active,4,N1,4.089230457032132,39
002,active,4,P2,5.626095473010348,39
002,active,4,P3,3.4347322639798277,39
002,passive,1,N1,6.577987618769948,34
002,passive,1,P2,7.759543693384522,34
002,passive,1,P3,4.994849574238843,34
002,passive,2,N1,2.180684341282155,39
002,passive,2,P2,4.480097870928417,39
002,passive,2,P3,2.117026461343915,39
002,passive,3,N1,3.977549301028996,39
002,passive,3,P2,5.772719000399067,39
002,passive,3,P3,3.625084579593157,39
002,passive,4,N1,3.4977761602394937,37
002,passive,4,P2,5.366571948015697,37
002,passive,4,P3,4.693953099148755,37
003,active,1,N1,13.460899940379056,23
003,active,1,P2,17.32461864013403,23
003,active,1,P3,15.476027839454485,23
003,active,2,N1,11.06160586601174,33
003,active,2,P2,13.410325575701911,33
003,active,2,P3,11.593750325306981,33
003,active,3,N1,12.605615589139145,28
003,active,3,P2,16.25897130798071,28
003,active,3,P3,13.970744474728193,28
003,active,4,N1,5.351640543538223,29
003,active,4,P2,9.13533249274502,29
003,active,4,P3,4.170562087132427,29
003,passive,1,N1,9.243950977586268,34
003,passive,1,P2,11.677096824343467,34
003,passive,1,P3,8.441805962108399,34
003,passive,2,N1,9.228727864142387,34
003,passive,2,P2,11.913179917726723,34
003,passive,2,P3,8.737579549662945,34
003,passive,3,N1,10.562273462389173,32
003,passive,3,P2,12.506737312132481,32
003,passive,3,P3,8.189342844012392,32
003,passive,4,N1,13.089117268756567,34
003,passive,4,P2,15.089354083592983,34
003,passive,4,P3,13.413157771976893,34
004,active,1,N1,3.0949393485174603,39
004,active,1,P2,9.750734976296775,39
004,active,1,P3,6.9544131597486265,39
004,active,2,N1,2.2565316492247898,39
004,active,2,P2,9.476230421824974,39
004,active,2,P3,5.287604666699813,39
004,active,3,N1,4.056839311798391,39
004,active,3,P2,10.320372190371112,39
004,active,3,P3,6.293300859401604,39
004,active,4,N1,2.9564925997122318,39
004,active,4,P2,10.242592269335967,39
004,active,4,P3,5.135243626510146,39
004,passive,1,N1,2.2206664909771026,38
004,passive,1,P2,9.071234320984535,38
004,passive,1,P3,5.121246061673047,38
004,passive,2,N1,2.3068562788419853,37
004,passive,2,P2,9.133158432371374,37
004,passive,2,P3,4.058607001896759,37
004,passive,3,N1,0.2494127498131081,37
004,passive,3,P2,7.538180409741089,37
004,passive,3,P3,3.6170995730678475,37
004,passive,4,N1,3.1614026269042923,38
004,passive,4,P2,9.671636525482633,38
004,passive,4,P3,5.445409155476713,38
005,active,1,N1,10.369185768090311,37
005,active,1,P2,10.760318067690577,37
005,active,1,P3,4.05879899274709,37
005,active,2,N1,9.346188130041767,38
005,active,2,P2,10.71796244912648,38
005,active,2,P3,7.219832771726367,38
005,active,3,N1,9.591005889932463,37
005,active,3,P2,11.072611612314118,37
005,active,3,P3,7.547868267612193,37
005,active,4,N1,11.756445520703464,36
005,active,4,P2,11.545147247171847,36
005,active,4,P3,8.541636260212288,36
005,passive,1,N1,8.26217821919229,35
