subject,condition,cluster,window,n,mean_amp_uv
001,active,occipital,lambda,901,5.703785
001,active,occipital,P1_frp,901,3.126249
001,active,occipital,N1_frp,901,-1.996704
001,active,occipital,P2_frp,901,-1.273728
001,active,occipital,Late_frp,901,-1.950511
001,active,posterior,lambda,901,3.92165
001,active,posterior,P1_frp,901,2.386831
001,active,posterior,N1_frp,901,-1.221857
001,active,posterior,P2_frp,901,-1.193331
001,active,posterior,Late_frp,901,-1.69042
001,active,parietal,lambda,901,1.473194
001,active,parietal,P1_frp,901,0.705057
001,active,parietal,N1_frp,901,-0.495773
001,active,parietal,P2_frp,901,-1.55994
001,active,parietal,Late_frp,901,-1.685525
001,active,frontal,lambda,901,-3.006614
001,active,frontal,P1_frp,901,-1.523907
001,active,frontal,N1_frp,901,0.628374
001,active,frontal,P2_frp,901,-0.762458
001,active,frontal,Late_frp,901,-0.039642
001,passive,occipital,lambda,599,6.444947
001,passive,occipital,P1_frp,599,3.608061
001,passive,occipital,N1_frp,599,-1.665067
001,passive,occipital,P2_frp,599,-0.190573
001,passive,occipital,Late_frp,599,-1.156931
001,passive,posterior,lambda,599,4.455296
001,passive,posterior,P1_frp,599,2.719826
001,passive,posterior,N1_frp,599,-1.040571
001,passive,posterior,P2_frp,599,-0.34983
001,passive,posterior,Late_frp,599,-1.051223
001,passive,parietal,lambda,599,2.007172
001,passive,parietal,P1_frp,599,0.958179
001,passive,parietal,N1_frp,599,-0.149063
001,passive,parietal,P2_frp,599,-0.738266
001,passive,parietal,Late_frp,599,-0.781418
001,passive,frontal,lambda,599,-1.808505
001,passive,frontal,P1_frp,599,-0.707898
001,passive,frontal,N1_frp,599,1.570652
001,passive,frontal,P2_frp,599,0.083263
001,passive,frontal,Late_frp,599,1.637306
001,constant,occipital,lambda,862,5.595642
001,constant,occipital,P1_frp,862,3.580576
001,constant,occipital,N1_frp,862,-1.099888
001,constant,occipital,P2_frp,862,0.593626
001,constant,occipital,Late_frp,862,-0.219118
001,constant,posterior,lambda,862,3.902087
001,constant,posterior,P1_frp,862,2.77165
001,constant,posterior,N1_frp,862,-0.454458
001,constant,posterior,P2_frp,862,0.533815
001,constant,posterior,Late_frp,862,0.038809
001,constant,parietal,lambda,862,1.502027
001,constant,parietal,P1_frp,862,1.023404
001,constant,parietal,N1_frp,862,0.189395
001,constant,parietal,P2_frp,862,0.073964
001,constant,parietal,Late_frp,862,0.209715
001,constant,frontal,lambda,862,-2.353908
001,constant,frontal,P1_frp,862,-0.964305
001,constant,frontal,N1_frp,862,1.143326
001,constant,frontal,P2_frp,862,-0.062865
001,constant,frontal,Late_frp,862,1.602832
002,active,occipital,lambda,957,5.643758
002,active,occipital,P1_frp,957,1.709854
002,active,occipital,N1_frp,957,-0.279676
002,active,occipital,P2_frp,957,0.103549
002,active,occipital,Late_frp,957,0.109487
002,active,posterior,lambda,957,3.065258
002,active,posterior,P1_frp,957,1.046639
002,active,posterior,N1_frp,957,0.16608
002,active,posterior,P2_frp,957,0.016366
002,active,posterior,Late_frp,957,0.297177
002,active,parietal,lambda,957,0.453017
002,active,parietal,P1_frp,957,-0.689735
002,active,parietal,N1_frp,957,0.193341
002,active,parietal,P2_frp,957,-0.646778
002,active,parietal,Late_frp,957,0.326751
002,active,frontal,lambda,957,-1.245922
002,active,frontal,P1_frp,957,-1.31364
002,active,frontal,N1_frp,957,0.700045
002,active,frontal,P2_frp,957,-0.333671
002,active,frontal,Late_frp,957,1.028918
002,passive,occipital,lambda,718,5.703832
002,passive,occipital,P1_frp,718,2.375546
002,passive,occipital,N1_frp,718,0.591517
002,passive,occipital,P2_frp,718,1.255744
002,passive,occipital,Late_frp,718,1.586397
002,passive,posterior,lambda,718,3.305987
002,passive,posterior,P1_frp,718,1.673115
002,passive,posterior,N1_frp,718,0.877551
002,passive,posterior,P2_frp,718,0.940923
002,passive,posterior,Late_frp,718,1.6562
002,passive,parietal,lambda,718,1.140506
002,passive,parietal,P1_frp,718,0.378387
002,passive,parietal,N1_frp,718,1.171791
002,passive,parietal,P2_frp,718,0.645583
002,passive,parietal,Late_frp,718,2.264126
002,passive,frontal,lambda,718,-0.914214
002,passive,frontal,P1_frp,718,-0.813132
002,passive,frontal,N1_frp,718,0.815681
002,passive,frontal,P2_frp,718,0.230738
002,passive,frontal,Late_frp,718,2.029057
002,constant,occipital,lambda,939,4.079293
002,constant,occipital,P1_frp,939,2.184982
002,constant,occipital,N1_frp,939,0.792696
002,constant,occipital,P2_frp,939,0.762237
002,constant,occipital,Late_frp,939,0.683381
002,constant,posterior,lambda,939,2.085069
002,constant,posterior,P1_frp,939,1.147741
002,constant,posterior,N1_frp,939,0.598107
002,constant,posterior,P2_frp,939,0.358031
002,constant,posterior,Late_frp,939,0.558591
002,constant,parietal,lambda,939,0.314655
002,constant,parietal,P1_frp,939,-0.475897
002,constant,parietal,N1_frp,939,0.28946
002,constant,parietal,P2_frp,939,-0.165722
002,constant,parietal,Late_frp,939,0.737705
002,constant,frontal,lambda,939,-1.072353
002,constant,frontal,P1_frp,939,-1.511657
002,constant,frontal,N1_frp,939,0.075611
002,constant,frontal,P2_frp,939,-0.451968
002,constant,frontal,Late_frp,939,0.937004
003,active,occipital,lambda,406,4.559198
003,active,occipital,P1_frp,406,2.584562
003,active,occipital,N1_frp,406,-1.459074
003,active,occipital,P2_frp,406,-0.448795
003,active,occipital,Late_frp,406,-1.228449
003,active,posterior,lambda,406,3.204735
003,active,posterior,P1_frp,406,2.200387
003,active,posterior,N1_frp,406,1.077295
003,active,posterior,P2_frp,406,1.147082
003,active,posterior,Late_frp,406,1.845338
003,active,parietal,lambda,406,0.250013
003,active,parietal,P1_frp,406,-0.619449
003,active,parietal,N1_frp,406,1.354067
003,active,parietal,P2_frp,406,-0.010295
003,active,parietal,Late_frp,406,1.432623
003,active,frontal,lambda,406,-2.372761
003,active,frontal,P1_frp,406,-3.388202
003,active,frontal,N1_frp,406,0.452347
003,active,frontal,P2_frp,406,-0.443275
003,active,frontal,Late_frp,406,1.196257
003,passive,occipital,lambda,576,3.693926
003,passive,occipital,P1_frp,576,2.084679
003,passive,occipital,N1_frp,576,-2.141896
003,passive,occipital,P2_frp,576,-1.599157
003,passive,occipital,Late_frp,576,-2.064714
003,passive,posterior,lambda,576,1.911599
003,passive,posterior,P1_frp,576,1.161056
003,passive,posterior,N1_frp,576,0.225956
003,passive,posterior,P2_frp,576,-0.514702
003,passive,posterior,Late_frp,576,-0.109056
003,passive,parietal,lambda,576,-0.276013
003,passive,parietal,P1_frp,576,-1.017415
003,passive,parietal,N1_frp,576,1.793757
003,passive,parietal,P2_frp,576,-0.467579
003,passive,parietal,Late_frp,576,0.948962
003,passive,frontal,lambda,576,-2.686644
003,passive,frontal,P1_frp,576,-3.663192
003,passive,frontal,N1_frp,576,0.928477
003,passive,frontal,P2_frp,576,-1.193842
003,passive,frontal,Late_frp,576,0.039275
003,constant,occipital,lambda,995,3.466452
003,constant,occipital,P1_frp,995,1.863718
003,constant,occipital,N1_frp,995,-1.160015
003,constant,occipital,P2_frp,995,-0.773794
003,constant,occipital,Late_frp,995,-0.99447
003,constant,posterior,lambda,995,1.445441
003,constant,posterior,P1_frp,995,0.653101
003,constant,posterior,N1_frp,995,0.378966
003,constant,posterior,P2_frp,995,-0.481585
003,constant,posterior,Late_frp,995,-0.1741
003,constant,parietal,lambda,995,-1.088408
003,constant,parietal,P1_frp,995,-2.207715
003,constant,parietal,N1_frp,995,1.223685
003,constant,parietal,P2_frp,995,-1.239329
003,constant,parietal,Late_frp,995,-0.361644
003,constant,frontal,lambda,995,-2.436124
003,constant,frontal,P1_frp,995,-3.618801
003,constant,frontal,N1_frp,995,1.190409
003,constant,frontal,P2_frp,995,-0.895143
003,constant,frontal,Late_frp,995,0.153338
004,active,occipital,lambda,3345,4.077802
004,active,occipital,P1_frp,3345,2.355479
004,active,occipital,N1_frp,3345,-0.462547
004,active,occipital,P2_frp,3345,0.20565
004,active,occipital,Late_frp,3345,-0.237265
004,active,posterior,lambda,3345,1.923886
004,active,posterior,P1_frp,3345,2.006199
004,active,posterior,N1_frp,3345,-0.171747
004,active,posterior,P2_frp,3345,0.122581
004,active,posterior,Late_frp,3345,-0.32259
004,active,parietal,lambda,3345,-0.148164
004,active,parietal,P1_frp,3345,0.30108
004,active,parietal,N1_frp,3345,0.468274
004,active,parietal,P2_frp,3345,-0.149092
004,active,parietal,Late_frp,3345,-0.166608
004,active,frontal,lambda,3345,-1.228793
004,active,frontal,P1_frp,3345,-1.005134
004,active,frontal,N1_frp,3345,0.773846
004,active,frontal,P2_frp,3345,-0.300502
004,active,frontal,Late_frp,3345,0.28581
004,passive,occipital,lambda,2646,3.806572
004,passive,occipital,P1_frp,2646,2.378797
004,passive,occipital,N1_frp,2646,-0.348522
004,passive,occipital,P2_frp,2646,0.392613
004,passive,occipital,Late_frp,2646,-0.18863
004,passive,posterior,lambda,2646,1.798837
004,passive,posterior,P1_frp,2646,2.01638
004,passive,posterior,N1_frp,2646,-0.119002
004,passive,posterior,P2_frp,2646,0.348436
004,passive,posterior,Late_frp,2646,-0.258888
004,passive,parietal,lambda,2646,-0.160001
004,passive,parietal,P1_frp,2646,0.308465
004,passive,parietal,N1_frp,2646,0.44906
004,passive,parietal,P2_frp,2646,0.051238
004,passive,parietal,Late_frp,2646,-0.051136
004,passive,frontal,lambda,2646,-1.116517
004,passive,frontal,P1_frp,2646,-0.98809
004,passive,frontal,N1_frp,2646,0.679305
004,passive,frontal,P2_frp,2646,-0.21751
004,passive,frontal,Late_frp,2646,0.410758
004,constant,occipital,lambda,2015,3.333204
004,constant,occipital,P1_frp,2015,2.420406
004,constant,occipital,N1_frp,2015,0.739391
004,constant,occipital,P2_frp,2015,0.945627
004,constant,occipital,Late_frp,2015,0.1414
004,constant,posterior,lambda,2015,1.6003
004,constant,posterior,P1_frp,2015,1.946947
004,constant,posterior,N1_frp,2015,0.658538
004,constant,posterior,P2_frp,2015,0.857911
