condition,cluster,window,n,mean_alpha_pct,iaf_hz
active,occipital,early,30,16.457,10.7421875
active,occipital,mid,30,-25.297,10.7421875
active,occipital,late,30,-35.189,10.7421875
active,occipital,very_late,30,72.015,10.7421875
active,posterior,early,30,19.899,10.7421875
active,posterior,mid,30,-43.133,10.7421875
active,posterior,late,30,-47.308,10.7421875
active,posterior,very_late,30,43.228,10.7421875
active,parietal,early,30,16.663,10.7421875
active,parietal,mid,30,-39.604,10.7421875
active,parietal,late,30,-39.152,10.7421875
active,parietal,very_late,30,177.95,10.7421875
active,frontal,early,30,34.644,10.7421875
active,frontal,mid,30,-7.994,10.7421875
active,frontal,late,30,-13.803,10.7421875
active,frontal,very_late,30,154.743,10.7421875
passive,occipital,early,48,-1.442,10.7421875
passive,occipital,mid,48,-30.153,10.7421875
passive,occipital,late,48,-7.641,10.7421875
passive,occipital,very_late,48,83.306,10.7421875
passive,posterior,early,48,-0.698,10.7421875
passive,posterior,mid,48,-32.861,10.7421875
passive,posterior,late,48,-15.895,10.7421875
passive,posterior,very_late,48,68.083,10.7421875
passive,parietal,early,48,-6.826,10.7421875
passive,parietal,mid,48,-33.293,10.7421875
passive,parietal,late,48,-26.506,10.7421875
passive,parietal,very_late,48,198.273,10.7421875
passive,frontal,early,48,-7.654,10.7421875
passive,frontal,mid,48,-17.615,10.7421875
passive,frontal,late,48,-0.708,10.7421875
passive,frontal,very_late,48,74.173,10.7421875
