cluster,window,comparison,condition_a,condition_b,n_a,n_b,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_d
occipital,lambda,active_vs_passive,active,passive,957,718,5.643758076650778,5.7038315721338915,-0.06007349548311325,-0.20286532629330126,0.8392688205829005,-0.010174151251896468
occipital,lambda,active_vs_constant,active,constant,957,939,5.643758076650778,4.079292853681246,1.564465222969532,6.004810773755189,2.2911622699530337e-09,0.2758739933726952
occipital,lambda,passive_vs_constant,passive,constant,718,939,5.7038315721338915,4.079292853681246,1.6245387184526452,5.425161676233067,6.764021369358681e-08,0.27221288863487547
occipital,P1_frp,active_vs_passive,active,passive,957,718,1.709854408069016,2.375546458164861,-0.6656920500958452,-2.2716942443466026,0.023250528002323863,-0.11380238130545346
occipital,P1_frp,active_vs_constant,active,constant,957,939,1.709854408069016,2.184981517724693,-0.47512710965567706,-1.7355451933665988,0.08281010851479334,-0.07981149465903187
occipital,P1_frp,passive_vs_constant,passive,constant,718,939,2.375546458164861,2.184981517724693,0.19056494044016814,0.6162048835566345,0.5378493433209846,0.030469469307205233
occipital,N1_frp,active_vs_passive,active,passive,957,718,-0.27967610083306005,0.5915173662698412,-0.8711934671029012,-2.7366625656192496,0.006284353136615158,-0.13793882524208675
occipital,N1_frp,active_vs_constant,active,constant,957,939,-0.27967610083306005,0.7926964386442855,-1.0723725394773456,-3.72597683761541,0.00020036049856977987,-0.17132925296376444
occipital,N1_frp,passive_vs_constant,passive,constant,718,939,0.5915173662698412,0.7926964386442855,-0.20117907237444432,-0.6028262323111142,0.5467144389768231,-0.030019420098473387
occipital,P2_frp,active_vs_passive,active,passive,957,718,0.10354900936397567,1.2557440462947123,-1.1521950369307365,-3.2306450114864464,0.0012635355565057793,-0.1628255397618476
occipital,P2_frp,active_vs_constant,active,constant,957,939,0.10354900936397567,0.7622366794917079,-0.6586876701277322,-1.9749051725241313,0.04842903295738543,-0.0908600666267945
occipital,P2_frp,passive_vs_constant,passive,constant,718,939,1.2557440462947123,0.7622366794917079,0.49350736680300433,1.2871688884206849,0.1982261504304768,0.06359764172131757
occipital,Late_frp,active_vs_passive,active,passive,957,718,0.10948709620435595,1.586396790832932,-1.476909694628576,-3.278581266943285,0.001069489561703153,-0.16630399214779112
occipital,Late_frp,active_vs_constant,active,constant,957,939,0.10948709620435595,0.6833810177388829,-0.573893921534527,-1.3663337938504692,0.17200505179146036,-0.06288731438553156
occipital,Late_frp,passive_vs_constant,passive,constant,718,939,1.586396790832932,0.6833810177388829,0.903015773094049,1.8357255494612768,0.06658836869997094,0.09071345799532649
posterior,lambda,active_vs_passive,active,passive,957,718,3.0652576040209887,3.3059866741554185,-0.2407290701344298,-0.9578176679862014,0.33831859827826766,-0.04828093254893449
posterior,lambda,active_vs_constant,active,constant,957,939,3.0652576040209887,2.08506944170406,0.9801881623169288,4.4476054481754534,9.189994847443945e-06,0.2044047215539575
posterior,lambda,passive_vs_constant,passive,constant,718,939,3.3059866741554185,2.08506944170406,1.2209172324513586,4.738620991247878,2.3601897437083292e-06,0.23773019877702747
