condition,cluster,window,n,mean_amp_uv
active,occipital,P1,159,4.4289
passive,occipital,P1,150,2.8002
constant,occipital,P1,12,3.1184
active,occipital,N1,159,3.4574
passive,occipital,N1,150,2.2043
constant,occipital,N1,12,1.122
active,occipital,P2,159,11.0316
passive,occipital,P2,150,9.7942
constant,occipital,P2,12,7.5279
active,occipital,P3,159,6.3442
passive,occipital,P3,150,4.9772
constant,occipital,P3,12,5.3248
active,occipital,Late,159,3.5219
passive,occipital,Late,150,2.4387
constant,occipital,Late,12,0.58
active,posterior,P1,159,3.608
passive,posterior,P1,150,2.3654
constant,posterior,P1,12,2.9776
active,posterior,N1,159,2.8208
passive,posterior,N1,150,1.8678
constant,posterior,N1,12,1.6594
active,posterior,P2,159,9.2617
passive,posterior,P2,150,8.3002
constant,posterior,P2,12,6.3311
active,posterior,P3,159,5.7206
passive,posterior,P3,150,4.326
constant,posterior,P3,12,6.2708
active,posterior,Late,159,3.665
passive,posterior,Late,150,2.367
constant,posterior,Late,12,2.2174
active,parietal,P1,159,0.3853
passive,parietal,P1,150,-0.6111
constant,parietal,P1,12,-0.3725
active,parietal,N1,159,-0.034
passive,parietal,N1,150,-1.0846
constant,parietal,N1,12,1.3257
active,parietal,P2,159,3.2446
passive,parietal,P2,150,2.5506
constant,parietal,P2,12,1.7196
active,parietal,P3,159,2.0546
passive,parietal,P3,150,0.7888
constant,parietal,P3,12,4.0332
active,parietal,Late,159,1.9359
passive,parietal,Late,150,0.1892
constant,parietal,Late,12,1.5495
active,frontal,P1,159,-2.2372
passive,frontal,P1,150,-2.9131
constant,frontal,P1,12,-4.6826
active,frontal,N1,159,-2.0457
passive,frontal,N1,150,-3.7271
constant,frontal,N1,12,-0.0707
active,frontal,P2,159,-3.4328
passive,frontal,P2,150,-3.6374
constant,frontal,P2,12,-1.3632
active,frontal,P3,159,-2.09
passive,frontal,P3,150,-2.9883
constant,frontal,P3,12,2.8864
active,frontal,Late,159,-0.6439
passive,frontal,Late,150,-2.6307
constant,frontal,Late,12,0.8074
