subject,condition,cluster,window,n,mean_amp_uv
013,active,occipital,lambda,574,4.729654
013,active,occipital,P1_frp,574,1.652677
013,active,occipital,N1_frp,574,-2.46802
013,active,occipital,P2_frp,574,-1.56064
013,active,occipital,Late_frp,574,-2.679594
013,active,posterior,lambda,574,2.133296
013,active,posterior,P1_frp,574,1.899168
013,active,posterior,N1_frp,574,-0.78036
013,active,posterior,P2_frp,574,-1.735149
013,active,posterior,Late_frp,574,-1.802426
013,active,parietal,lambda,574,-1.226852
013,active,parietal,P1_frp,574,0.170443
013,active,parietal,N1_frp,574,1.113472
013,active,parietal,P2_frp,574,-1.341366
013,active,parietal,Late_frp,574,0.181058
013,active,frontal,lambda,574,-4.63388
013,active,frontal,P1_frp,574,-2.441795
013,active,frontal,N1_frp,574,1.927585
013,active,frontal,P2_frp,574,-0.70822
013,active,frontal,Late_frp,574,1.895955
013,passive,occipital,lambda,638,4.338127
013,passive,occipital,P1_frp,638,2.373764
013,passive,occipital,N1_frp,638,-2.475431
013,passive,occipital,P2_frp,638,-1.206714
013,passive,occipital,Late_frp,638,-2.506195
013,passive,posterior,lambda,638,1.782953
013,passive,posterior,P1_frp,638,2.046027
013,passive,posterior,N1_frp,638,-1.03105
013,passive,posterior,P2_frp,638,-1.449315
013,passive,posterior,Late_frp,638,-1.765505
013,passive,parietal,lambda,638,-1.410921
013,passive,parietal,P1_frp,638,-0.282223
013,passive,parietal,N1_frp,638,0.450428
013,passive,parietal,P2_frp,638,-1.536841
013,passive,parietal,Late_frp,638,-0.195532
013,passive,frontal,lambda,638,-4.297726
013,passive,frontal,P1_frp,638,-2.964192
013,passive,frontal,N1_frp,638,1.345324
013,passive,frontal,P2_frp,638,-1.221497
013,passive,frontal,Late_frp,638,1.325272
013,constant,occipital,lambda,830,3.578218
013,constant,occipital,P1_frp,830,3.154371
013,constant,occipital,N1_frp,830,-0.901757
013,constant,occipital,P2_frp,830,-0.009409
013,constant,occipital,Late_frp,830,-0.712167
013,constant,posterior,lambda,830,1.628499
013,constant,posterior,P1_frp,830,2.427172
013,constant,posterior,N1_frp,830,-0.006821
013,constant,posterior,P2_frp,830,-0.493419
013,constant,posterior,Late_frp,830,-0.50454
013,constant,parietal,lambda,830,-0.629839
013,constant,parietal,P1_frp,830,-0.054075
013,constant,parietal,N1_frp,830,0.906049
013,constant,parietal,P2_frp,830,-0.933345
013,constant,parietal,Late_frp,830,-0.261734
013,constant,frontal,lambda,830,-2.577499
013,constant,frontal,P1_frp,830,-2.653784
013,constant,frontal,N1_frp,830,0.947259
013,constant,frontal,P2_frp,830,-1.03925
013,constant,frontal,Late_frp,830,-0.132002
